name,path,type,size,parent_directory
HW_8_1.py,D:\GB\Погружение в Python\Seminar\HW\HW_8\HW_8_1.py,file,3222,D:\GB\Погружение в Python\Seminar\HW\HW_8
__init__.py,D:\GB\Погружение в Python\Seminar\HW\HW_8\__init__.py,file,125,D:\GB\Погружение в Python\Seminar\HW\HW_8
